url,name,category,description,primary_language,domain,architecture_type,key_functions,dependency_management
https://github.com/openzeppelin/openzeppelin-contracts,OpenZeppelin Contracts,smart_contract_library,Library for secure smart contract development,Solidity,Smart Contract Library,Library,"Security primitives|Token standards|Access control|Upgradeable contracts|Utilities",package_manager|runtime_required|conservative_updates
https://github.com/safe-global/safe-smart-account,Safe Smart Account,infrastructure,Most trusted decentralized custody protocol on Ethereum,Solidity,Smart Contract Platform,Protocol,"Multi-signature wallet|Modular security|Transaction batching|Social recovery|DeFi integrations",package_manager|build_time_only|manual_updates
https://github.com/ethereum/solidity,Solidity,programming_language,Contract-oriented programming language for Ethereum,C++,Programming Language,Compiler,"Smart contract compilation|EVM bytecode generation|ABI generation|Optimization|Static analysis",package_manager|build_time_only|conservative_updates
https://github.com/ethereum/fe,Fe,programming_language,Emerging smart contract language with Rust-inspired syntax,Rust,Programming Language,Compiler,"Safe smart contracts|Memory safety|Type safety|EVM compilation|Rust-like syntax",package_manager|build_time_only|conservative_updates
https://github.com/vyperlang/vyper,Vyper,programming_language,Pythonic smart contract language focusing on security,Python,Programming Language,Compiler,"Secure compilation|Auditability|Simplicity|EVM targeting|Python-like syntax",package_manager|build_time_only|conservative_updates
https://github.com/vyperlang/titanoboa,Titanoboa,development_tool,Vyper interpreter with fast JIT-compilation and advanced testing tools,Python,Development Tool,Interpreter,"Vyper execution|JIT compilation|Testing framework|Contract interaction|Debugging tools",package_manager|runtime_required|automated_updates
https://github.com/ethereum/remix-project,Remix,development_tool,Web-based IDE for Ethereum smart contract development,TypeScript,Development IDE,Web Application,"Smart contract development|Compilation|Debugging|Deployment|Plugin ecosystem",package_manager|runtime_required|automated_updates
https://github.com/ethereum/sourcify,Sourcify,development_tool,Source code verification service for Ethereum smart contracts,TypeScript,Verification Service,Web Service,"Source verification|Metadata validation|Contract transparency|IPFS integration|API services",package_manager|runtime_required|automated_updates
https://github.com/ethereum-lists/chains,Ethereum Chains,infrastructure,Comprehensive list of Ethereum chain configurations and metadata,JSON,Chain Registry,Data Repository,"Chain configurations|Network metadata|RPC endpoints|Explorer links|Community maintenance",manual_updates|dev_optional|manual_updates
https://github.com/ethereum/py-evm,Py-EVM,virtual_machine,Python implementation of the Ethereum Virtual Machine,Python,Virtual Machine,Runtime,"EVM implementation|State execution|Protocol testing|Research platform|Educational tool",package_manager|runtime_required|conservative_updates
https://github.com/ethereumjs/ethereumjs-monorepo,EthereumJS,virtual_machine,JavaScript/TypeScript Ethereum ecosystem libraries and tools,TypeScript,JavaScript Ecosystem,Library Collection,"EVM implementation|Ethereum utilities|Protocol libraries|Client components|Developer tools",monorepo_internal|runtime_required|automated_updates
https://github.com/ethereum/web3.py,Web3.py,web3_library,Python library for interacting with Ethereum,Python,Web3 Library,Library,"Ethereum interaction|Contract calls|Transaction management|Provider abstraction|ENS resolution",package_manager|runtime_required|automated_updates
https://github.com/web3/web3.js,Web3.js,web3_library,Ethereum JavaScript API collection,JavaScript,Web3 Library,Library,"Ethereum RPC calls|Contract interaction|Wallet management|Event filtering|Utility functions",package_manager|runtime_required|automated_updates
https://github.com/ethers-io/ethers.js,Ethers.js,web3_library,Complete Ethereum library and wallet implementation,JavaScript,Web3 Library,Library,"Provider management|Signer abstraction|Contract factories|Utilities|TypeScript support",package_manager|runtime_required|automated_updates
https://github.com/wevm/viem,Viem,web3_library,TypeScript interface for Ethereum that provides low-level stateless primitives,TypeScript,Web3 Library,Library,"Type-safe Ethereum API|Modern JavaScript features|Tree-shakeable|Modular design|Performance optimization",package_manager|runtime_required|automated_updates
https://github.com/hyperledger-web3j/web3j,Web3j,web3_library,Lightweight reactive Java and Android library for integration with Ethereum,Java,Web3 Library,Library,"Java Ethereum integration|Android support|Reactive programming|Smart contract wrappers|Enterprise features",package_manager|runtime_required|conservative_updates
https://github.com/nethereum/nethereum,Nethereum,web3_library,.NET integration library for Ethereum,C#,Web3 Library,Library,".NET Ethereum integration|Smart contract interaction|Wallet management|Unity support|Cross-platform compatibility",package_manager|runtime_required|conservative_updates
https://github.com/scaffold-eth/scaffold-eth-2,Scaffold-ETH 2,scaffolding,Open-source toolkit for building decentralized applications,TypeScript,Development Template,Scaffolding,"DApp boilerplate|Smart contract templates|Frontend integration|Development workflow|Educational tools",package_manager|runtime_required|automated_updates
